campaign,deployment,platform_name,latitude,longitude
OLYMPEX,OLYMPEX-D1_2015,Permanent Land Site,48.19,-122.496
OLYMPEX,OLYMPEX-D1_2015,Permanent Land Site,47.12,-124.11
OLYMPEX,OLYMPEX-D1_2015,Permanent Land Site,45.72,-122.97
OLYMPEX,OLYMPEX-D1_2015,Balloon Launch Site,44.91,-123.002
OLYMPEX,OLYMPEX-D1_2015,Balloon Launch Site,47.56,-124.34
OLYMPEX,OLYMPEX-D1_2015,Balloon Launch Site,50.68,-127.38
OLYMPEX,OLYMPEX-D1_2015,Balloon Launch Site,47.28,-124.21
OLYMPEX,OLYMPEX-D1_2015,Balloon Launch Site,48.39,-123.48
OLYMPEX,OLYMPEX-D1_2015,Field Site,47.28,-124.21
OLYMPEX,OLYMPEX-D1_2015,Field Site,47.6,-124.37
OLYMPEX,OLYMPEX-D1_2015,Field Site,47.27,-124.12
OLYMPEX,OLYMPEX-D1_2015,Field Site,47.36,-123.99
OLYMPEX,OLYMPEX-D1_2015,Field Site,47.39,-123.87
OLYMPEX,OLYMPEX-D1_2015,Field Site,47.46,-123.89
OLYMPEX,OLYMPEX-D1_2015,Field Site,47.49,-123.81
OLYMPEX,OLYMPEX-D1_2015,Field Site,47.51,-123.81
OLYMPEX,OLYMPEX-D1_2015,Field Site,47.51,-123.93
OLYMPEX,OLYMPEX-D1_2015,Field Site,47.58,-123.68
OLYMPEX,OLYMPEX-D1_2015,Field Site,47.57,-123.58
OLYMPEX,OLYMPEX-D1_2015,Field Site,47.67,-123.38
OLYMPEX,OLYMPEX-D1_2015,Field Site,47.97,-123.5
OLYMPEX,OLYMPEX-D1_2015,Field Site,47.5,-123.58
OLYMPEX,OLYMPEX-D1_2015,Field Site,47.28,-124.21
OLYMPEX,OLYMPEX-D1_2015,Field Site,48.39,-123.48
OLYMPEX,OLYMPEX-D1_2015,Field Site,48.86,-123.76
