campaign,deployment,platform_name,latitude,longitude
DC3,DC3-D1_2012,Vehicle,35.897,-99.34
DC3,DC3-D1_2012,Vehicle,35.78,-99.66
DC3,DC3-D1_2012,Vehicle,35.67,-99.55
DC3,DC3-D1_2012,Vehicle,34.93,-86.47
DC3,DC3-D1_2012,Permanent Land Site,34.65,-86.77
DC3,DC3-D1_2012,Permanent Land Site,40.45,-104.64
DC3,DC3-D1_2012,Permanent Land Site,40.52,-104.43
DC3,DC3-D1_2012,Permanent Land Site,39.79,-104.55
DC3,DC3-D1_2012,Permanent Land Site,41.15,-104.81
DC3,DC3-D1_2012,Permanent Land Site,34.93,-86.08
DC3,DC3-D1_2012,Permanent Land Site,35.24,-97.47
DC3,DC3-D1_2012,Permanent Land Site,40.47,-104.32
DC3,DC3-D1_2012,Permanent Land Site,40.63,-104.32
DC3,DC3-D1_2012,Permanent Land Site,40.94,-104.04
DC3,DC3-D1_2012,Permanent Land Site,40.44,-104.63
DC3,DC3-D1_2012,Permanent Land Site,40.6,-103.8
DC3,DC3-D1_2012,Permanent Land Site,40.44,-105
DC3,DC3-D1_2012,Permanent Land Site,40.97,-104.29
DC3,DC3-D1_2012,Permanent Land Site,40.88,-103.9
DC3,DC3-D1_2012,Permanent Land Site,40.69,-104.58
DC3,DC3-D1_2012,Permanent Land Site,40.84,-104.76
DC3,DC3-D1_2012,Permanent Land Site,40.07,-104.51
DC3,DC3-D1_2012,Permanent Land Site,40.82,-104.06
DC3,DC3-D1_2012,Permanent Land Site,40.59,-105.14
DC3,DC3-D1_2012,Permanent Land Site,40.67,-104.94
DC3,DC3-D1_2012,Permanent Land Site,40.22,-104.08
DC3,DC3-D1_2012,Permanent Land Site,40.34,-103.81
DC3,DC3-D1_2012,Permanent Land Site,35,-97.91
DC3,DC3-D1_2012,Permanent Land Site,35.25,-98.08
DC3,DC3-D1_2012,Permanent Land Site,35.48,-98.01
DC3,DC3-D1_2012,Permanent Land Site,35.13,-97.52
DC3,DC3-D1_2012,Permanent Land Site,35.38,-97.62
DC3,DC3-D1_2012,Permanent Land Site,35.13,-97.96
DC3,DC3-D1_2012,Permanent Land Site,35.28,-97.92
DC3,DC3-D1_2012,Permanent Land Site,35.13,-97.73
DC3,DC3-D1_2012,Permanent Land Site,35.26,-97.66
DC3,DC3-D1_2012,Permanent Land Site,35.36,-98.04
DC3,DC3-D1_2012,Permanent Land Site,35.44,-97.78
DC3,DC3-D1_2012,Permanent Land Site,34.70,-99.34
DC3,DC3-D1_2012,Permanent Land Site,34.60,-99.49
DC3,DC3-D1_2012,Permanent Land Site,34.86,-99.36
DC3,DC3-D1_2012,Permanent Land Site,34.77,-99.54
DC3,DC3-D1_2012,Permanent Land Site,34.52,-99.43
DC3,DC3-D1_2012,Permanent Land Site,34.97,-99.45
DC3,DC3-D1_2012,Permanent Land Site,34.71,-99.08
DC3,DC3-D1_2012,Permanent Land Site,33.61,-101.82
DC3,DC3-D1_2012,Permanent Land Site,33.76,-101.68
DC3,DC3-D1_2012,Permanent Land Site,33.47,-101.79
DC3,DC3-D1_2012,Permanent Land Site,33.75,-102.07
DC3,DC3-D1_2012,Permanent Land Site,33.73,-101.84
DC3,DC3-D1_2012,Permanent Land Site,33.60,-102.04
DC3,DC3-D1_2012,Permanent Land Site,33.57,-101.69
DC3,DC3-D1_2012,Permanent Land Site,33.67,-101.53
DC3,DC3-D1_2012,Permanent Land Site,33.87,-101.61
DC3,DC3-D1_2012,Permanent Land Site,33.97,-101.83
DC3,DC3-D1_2012,Permanent Land Site,34.90,-86.56
DC3,DC3-D1_2012,Permanent Land Site,34.98,-86.84
DC3,DC3-D1_2012,Permanent Land Site,34.64,-86.77
DC3,DC3-D1_2012,Permanent Land Site,34.83,-87.03
DC3,DC3-D1_2012,Permanent Land Site,34.61,-86.52
DC3,DC3-D1_2012,Permanent Land Site,34.52,-86.97
DC3,DC3-D1_2012,Permanent Land Site,34.67,-86.36
DC3,DC3-D1_2012,Permanent Land Site,34.75,-86.51
DC3,DC3-D1_2012,Permanent Land Site,34.79,-86.82
DC3,DC3-D1_2012,Permanent Land Site,34.87,-86.30
DC3,DC3-D1_2012,Permanent Land Site,34.73,-86.64
DC3,DC3-D1_2012,Permanent Land Site,35.24,-86.42
DC3,DC3-D1_2012,Permanent Land Site,33.91,-84.53
DC3,DC3-D1_2012,Permanent Land Site,33.36,-84.57
